id,assetId,name,category,ratio,sourceWidth,sourceHeight,sourceFormat,sourceBytes,resolutionRequirement,resolutionPass,status,blockReason,thumbnailPath,thumbnailWidth,thumbnailHeight,publicationPath,publicationSha256
AST-C2FD2EA09,CH-001,CH-001_cover_candidate_v1.jpg,Capítulos,4:5,1600,2000,JPEG,263224,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-C2FD2EA09.webp,410,512,assets/publish/CH-001_cover_candidate_v1.jpg,08346970b8f62abea7e9601d387472c64f851c257349561d762fbb5f33c27c27
AST-4D0D9C8E9,CH-001,CH-001_scene-01_mouth_closure_candidate.jpg,Capítulos,4:3,1448,1086,JPEG,293951,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1448×1086; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-4D0D9C8E9.webp,512,384,,
AST-182C8AFD0,CH-001,CH-001_scene-02_rim_sample_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,573875,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-182C8AFD0.webp,512,288,assets/publish/CH-001_scene-02_rim_sample_candidate.jpg,4ac24d42d88749e81edb77ef3d0ed94367aa549d52e5464a900be008b4ea2ee7
AST-770C40A46,CH-001,CH-001_scene-03_salt_structure_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,330256,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-770C40A46.webp,512,288,assets/publish/CH-001_scene-03_salt_structure_candidate.jpg,6fbe14bce09d8409ac67243e11da9daee683abb05cfc4b5bdd1a562afab82062
AST-17F31FF4A,CH-001,CH-001_thumbnail_candidate_v1.jpg,Capítulos,16:9,1280,720,JPEG,97498,Content thumbnail 16:9 — minimum 1280×720,True,APPROVED,,assets/thumbs/AST-17F31FF4A.webp,512,288,assets/publish/CH-001_thumbnail_candidate_v1.jpg,e3e8bc56d758176da8c677ab230d5f2d31fc089695b5e5db1544a066ce90eca1
AST-49A493D07,CH-002,CH-002_cover_candidate_v1.jpg,Capítulos,4:5,1600,2000,JPEG,309434,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-49A493D07.webp,410,512,assets/publish/CH-002_cover_candidate_v1.jpg,da67b56c5159444b301d3d233d3998aa1881b6aebbdc89f55264aabf240eab3f
AST-7A1FC8B0A,CH-002,CH-002_scene-01_first_light_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,347762,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-7A1FC8B0A.webp,512,288,assets/publish/CH-002_scene-01_first_light_candidate.jpg,bb1d7c4ca509cbfff42e2ca30eed154224ad0b060b32562a799dd227d0ea2dcc
AST-952D40B4B,CH-002,CH-002_scene-02_repeater_one_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,284172,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-952D40B4B.webp,512,288,assets/publish/CH-002_scene-02_repeater_one_candidate.jpg,4e7205a244a637d5304573f4e4f21a163a7cd28779844eb9727f7b1a9efa0849
AST-10E2CE210,CH-002,CH-002_scene-03_landing_one_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,252496,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-10E2CE210.webp,512,288,assets/publish/CH-002_scene-03_landing_one_candidate.jpg,9ff0ddec7db8bdd8238bf3af3362058d9b270aa16e648c4a9cbc9feba7b8c2d9
AST-A19733299,CH-002,CH-002_thumbnail_candidate_v1.jpg,Capítulos,16:9,1280,720,JPEG,112621,Content thumbnail 16:9 — minimum 1280×720,True,APPROVED,,assets/thumbs/AST-A19733299.webp,512,288,assets/publish/CH-002_thumbnail_candidate_v1.jpg,560d12a07e5dade31e6b8b49884e92bc9566c4ae476b01ad2e8e56bbcef867fc
AST-F6214E63A,CH-003,CH-003_cover_candidate_v1.jpg,Capítulos,4:5,1600,2000,JPEG,252905,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-F6214E63A.webp,410,512,assets/publish/CH-003_cover_candidate_v1.jpg,09708cae97ae543a5c75c6697319790cbff528c9c2445737ffd3c66f71be0cd9
AST-5329796A2,CH-003,CH-003_scene-01_three_routes_candidate.jpg,Capítulos,3:2,1536,1024,JPEG,296717,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-5329796A2.webp,512,341,,
AST-AB1E42A99,CH-003,CH-003_scene-02_where_is_the_dust_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,348642,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-AB1E42A99.webp,512,288,assets/publish/CH-003_scene-02_where_is_the_dust_candidate.jpg,3617460b973236cef4d26c4063dc3b0a17e445e6bb735f7c1b5137ea70af91f9
AST-5F4968299,CH-003,CH-003_scene-03_western_opening_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,263695,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-5F4968299.webp,512,288,assets/publish/CH-003_scene-03_western_opening_candidate.jpg,23b69ad4b3c00c7e8bb24bcd33d670a9f90d7e98f47851569b595a6ee8d658a3
AST-7DE9834FB,CH-003,CH-003_thumbnail_candidate_v1.jpg,Capítulos,16:9,1280,720,JPEG,113099,Content thumbnail 16:9 — minimum 1280×720,True,APPROVED,,assets/thumbs/AST-7DE9834FB.webp,512,288,assets/publish/CH-003_thumbnail_candidate_v1.jpg,63988d7d37a460cfd46bbe5047ab0936ab3a72d56cd7898b9363d081327d5c18
AST-FB04609C7,CH-004,CH-004_cover_candidate_v1.jpg,Capítulos,4:5,1600,2000,JPEG,294044,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-FB04609C7.webp,410,512,assets/publish/CH-004_cover_candidate_v1.jpg,c903ff7c5c0b30c786f5aa1b093820f0ac00167640a67c6fa72946877ca95566
AST-47C55BBC3,CH-004,CH-004_scene-01_eighty_one_millimetres_candidate.jpg,Capítulos,4:3,1448,1086,JPEG,377593,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1448×1086; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-47C55BBC3.webp,512,384,,
AST-9919C9D59,CH-004,CH-004_scene-02_the_alcove_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,328344,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-9919C9D59.webp,512,288,assets/publish/CH-004_scene-02_the_alcove_candidate.jpg,9c2538e266d13b1389c54fbb8b4cd927fec989795b28182cdd7c02e8161f34b9
AST-1B8DF518B,CH-004,CH-004_scene-03_nothing_in_the_water_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,286780,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-1B8DF518B.webp,512,288,assets/publish/CH-004_scene-03_nothing_in_the_water_candidate.jpg,70ddc9ff7cf02f1e4e470ad799bfb3fb587622a7abf1f42a9c57e728a777f5b4
AST-F674E2AE9,CH-004,CH-004_thumbnail_candidate_v1.jpg,Capítulos,16:9,1280,720,JPEG,104056,Content thumbnail 16:9 — minimum 1280×720,True,APPROVED,,assets/thumbs/AST-F674E2AE9.webp,512,288,assets/publish/CH-004_thumbnail_candidate_v1.jpg,e7a583ec9aac8596b1d24bce01f219a37fe63c2343682d665927d313af5dbd89
AST-B295D762C,CH-005,CH-005_cover_candidate_v1.jpg,Capítulos,4:5,1600,2000,JPEG,328141,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-B295D762C.webp,410,512,assets/publish/CH-005_cover_candidate_v1.jpg,f0c8275b1ae9e034b8127c0836f4f35ba8e1427b63e509e2f897231b0d90781e
AST-4FCFC91FC,CH-005,CH-005_scene-01_after_transmission_candidate.jpg,Capítulos,4:3,1448,1086,JPEG,390766,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1448×1086; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-4FCFC91FC.webp,512,384,,
AST-BBB229799,CH-005,CH-005_scene-02_draft_one_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,353299,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-BBB229799.webp,512,288,assets/publish/CH-005_scene-02_draft_one_candidate.jpg,015c9b3e641532d4a14a6d3e0951e57efca5a23018eb636f8588d65e257896e7
AST-6E9928F5B,CH-005,CH-005_scene-03_say_what_it_costs_candidate.jpg,Capítulos,1.78:1,1672,941,JPEG,318705,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-6E9928F5B.webp,512,288,assets/publish/CH-005_scene-03_say_what_it_costs_candidate.jpg,3d715bbdb79c4ea570ef42eef7c6d2f61cca70e899e53d7bbf40f608192e898b
