id,assetId,name,category,ratio,sourceWidth,sourceHeight,sourceFormat,sourceBytes,resolutionRequirement,resolutionPass,status,blockReason,thumbnailPath,thumbnailWidth,thumbnailHeight,publicationPath,publicationSha256
AST-EFC45849D,DAY-06,DAY-06_materials_scientist_4x5.jpg,Pré-lançamento,4:5,1080,1350,JPEG,220588,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-EFC45849D.webp,410,512,assets/publish/DAY-06_materials_scientist_4x5.jpg,0badb91a90c22edbab635d1a1fc9782f402fcee3ce010f799de3c73bde39f145
AST-69C27EE19,DAY-07,DAY-07_medic_comms_4x5.jpg,Pré-lançamento,4:5,1080,1350,JPEG,218533,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-69C27EE19.webp,410,512,assets/publish/DAY-07_medic_comms_4x5.jpg,1d75d80d6b2058d2dd2e8da838078aed3c5e76b6d828af1fa7bee780f23fd054
AST-FE3AB1013,DAY-10,DAY-10_route_question_4x5.jpg,Pré-lançamento,4:5,1080,1350,JPEG,176150,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-FE3AB1013.webp,410,512,assets/publish/DAY-10_route_question_4x5.jpg,c32bedcd8127282725a4467c3c3977e63f181ed80c31e9c1f4de3411f117acc0
AST-DADFE3117,DAY-11,DAY-11_default_best_post_reformat_9x16.jpg,Pré-lançamento,9:16,1080,1920,JPEG,348417,Stories/Reels 9:16 — minimum 1080×1920,True,APPROVED,,assets/thumbs/AST-DADFE3117.webp,288,512,assets/publish/DAY-11_default_best_post_reformat_9x16.jpg,22d389793fb593604e4d60ecabd5a0cb4817d529504d2203f8d05f890a70da55
AST-6BEA51911,DAY-12,DAY-12_default_second_best_reformat_9x16.jpg,Pré-lançamento,9:16,1080,1920,JPEG,138553,Stories/Reels 9:16 — minimum 1080×1920,True,APPROVED,,assets/thumbs/AST-6BEA51911.webp,288,512,assets/publish/DAY-12_default_second_best_reformat_9x16.jpg,40f592e73336ef0222f88394fe2bebf8d045e8cced4c39de82833b7bfbde7211
AST-33B83CEB0,DAY-13,DAY-13_launch_date_EDIT_BEFORE_POSTING_4x5.jpg,Pré-lançamento,4:5,1080,1350,JPEG,181245,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-33B83CEB0.webp,410,512,assets/publish/DAY-13_launch_date_EDIT_BEFORE_POSTING_4x5.jpg,0110df3777820e345018ba3b4b3acf30773b528269105445744b7a1cfcb0bfd9
AST-AD256763A,DAY-14,DAY-14_follow_for_launch_4x5.jpg,Pré-lançamento,4:5,1080,1350,JPEG,178068,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-AD256763A.webp,410,512,assets/publish/DAY-14_follow_for_launch_4x5.jpg,9cded8e73de178723041bb1f4becfab4ab658cd95936a28a6fb35e2f878f0c5c
AST-A2ABDD83D,DAY-08,DAY-08_ch-001_quote_4x5.jpg,Pré-lançamento,4:5,1080,1350,JPEG,78766,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-A2ABDD83D.webp,410,512,assets/publish/DAY-08_ch-001_quote_4x5.jpg,9fceeb241fc1d5092e154dd3698dd552097db06c5d3dc4ca9b326e6318a68b46
AST-BF54F9A45,DAY-09,DAY-09_ch-003_quote_4x5.jpg,Pré-lançamento,4:5,1080,1350,JPEG,84949,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-BF54F9A45.webp,410,512,assets/publish/DAY-09_ch-003_quote_4x5.jpg,09d5b7b825c2fdaf9543addc97f768883acd839fe5cb5c5f4cccbdbe2bdf35bd
AST-E6F6B5A19,VOTE-001,VOTE-001_closed_4x5_candidate_v1.jpg,Redes Sociais,4:5,1080,1350,JPEG,129845,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-E6F6B5A19.webp,410,512,assets/publish/VOTE-001_closed_4x5_candidate_v1.jpg,a0f9e7be61e4b62793ecc51f13416dc5fb83325d89d9ac58a629574a0a64e4ee
AST-9A702E7FA,VOTE-001,VOTE-001_open_4x5_candidate_v1.jpg,Redes Sociais,4:5,1080,1350,JPEG,136300,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-9A702E7FA.webp,410,512,assets/publish/VOTE-001_open_4x5_candidate_v1.jpg,7005ab734161092253c685d892b0f2300810bb02da3fb0782783ffdfc7ad891d
AST-1A6BCF984,CH-001,CH-001_quote_square_candidate_v1.jpg,Redes Sociais,1:1,1080,1080,JPEG,81456,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-1A6BCF984.webp,512,512,assets/publish/CH-001_quote_square_candidate_v1.jpg,8a4fd0d2af16c71c904f1c7c7e6bba3a98633cf8c57c6a043c65104fa10768ba
AST-064FA9397,CH-001,CH-001_story_9x16_candidate_v1.jpg,Redes Sociais,9:16,1080,1920,JPEG,137239,Stories/Reels 9:16 — minimum 1080×1920,True,APPROVED,,assets/thumbs/AST-064FA9397.webp,288,512,assets/publish/CH-001_story_9x16_candidate_v1.jpg,e4da69f8f7b293c215bd4dd23206466d2854b84a38f9b07b50244fefd712b574
AST-BB8117A5D,CH-001,CH-001_teaser_4x5_candidate_v1.jpg,Redes Sociais,4:5,1080,1350,JPEG,111309,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-BB8117A5D.webp,410,512,assets/publish/CH-001_teaser_4x5_candidate_v1.jpg,458787b10b5b31cf82f40d97eaa2d3947698621bde564270bb1c710d224f02fd
AST-0AED1E2F5,CH-002,CH-002_quote_square_candidate_v1.jpg,Redes Sociais,1:1,1080,1080,JPEG,90014,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-0AED1E2F5.webp,512,512,assets/publish/CH-002_quote_square_candidate_v1.jpg,b05f9f74b08b1dca050b84b7a3842136c78b12f04f1f911a726088fa3de948d3
AST-F92938B1C,CH-002,CH-002_story_9x16_candidate_v1.jpg,Redes Sociais,9:16,1080,1920,JPEG,155485,Stories/Reels 9:16 — minimum 1080×1920,True,APPROVED,,assets/thumbs/AST-F92938B1C.webp,288,512,assets/publish/CH-002_story_9x16_candidate_v1.jpg,3811b6c68b874b0ce45af8386d14fceb8ad2c5f905d5095670a890040d51b597
AST-6B43C9DBD,CH-002,CH-002_teaser_4x5_candidate_v1.jpg,Redes Sociais,4:5,1080,1350,JPEG,129759,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-6B43C9DBD.webp,410,512,assets/publish/CH-002_teaser_4x5_candidate_v1.jpg,1e2b7183babd08481898955ee47f28e9aa385c34f6d80e87ae0ca2ae5c04b34f
AST-DC8F1FB79,CH-003,CH-003_quote_square_candidate_v1.jpg,Redes Sociais,1:1,1080,1080,JPEG,88937,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-DC8F1FB79.webp,512,512,assets/publish/CH-003_quote_square_candidate_v1.jpg,422a9c514d1f4b83932d202e8042f608c508557f9d456714a14bc904b5e37fa1
AST-4DB54971D,CH-003,CH-003_story_9x16_candidate_v1.jpg,Redes Sociais,9:16,1080,1920,JPEG,128258,Stories/Reels 9:16 — minimum 1080×1920,True,APPROVED,,assets/thumbs/AST-4DB54971D.webp,288,512,assets/publish/CH-003_story_9x16_candidate_v1.jpg,3a29e5a906353bdc619addd42f2bfc7ea3fb8b1f4e245efcdcc34e3c44dd399a
AST-120761C1C,CH-003,CH-003_teaser_4x5_candidate_v1.jpg,Redes Sociais,4:5,1080,1350,JPEG,108012,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-120761C1C.webp,410,512,assets/publish/CH-003_teaser_4x5_candidate_v1.jpg,6d31a8c6139a3cc0b08f61ec806e9c629fb6faa3092d21642c97cadd80d809a4
AST-7825899CE,CH-004,CH-004_quote_square_candidate_v1.jpg,Redes Sociais,1:1,1080,1080,JPEG,109572,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-7825899CE.webp,512,512,assets/publish/CH-004_quote_square_candidate_v1.jpg,51c9ee46c5399231de4224ba19b1dfe66498e9cd3d69bbb7b0903a745ec8348e
AST-BDF01585C,CH-004,CH-004_story_9x16_candidate_v1.jpg,Redes Sociais,9:16,1080,1920,JPEG,150708,Stories/Reels 9:16 — minimum 1080×1920,True,APPROVED,,assets/thumbs/AST-BDF01585C.webp,288,512,assets/publish/CH-004_story_9x16_candidate_v1.jpg,67046ca70f3a50e2a19425d214df9b896ff9f4c807b2030011b95d3cc544e8f9
AST-9AAF7274D,CH-004,CH-004_teaser_4x5_candidate_v1.jpg,Redes Sociais,4:5,1080,1350,JPEG,128764,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-9AAF7274D.webp,410,512,assets/publish/CH-004_teaser_4x5_candidate_v1.jpg,437470a7a62f0c4fb9158b4dc9d3d7ed2f23f75f971d798464fd0534ca80f8d5
AST-E7201C629,CH-005,CH-005_quote_square_candidate_v1.jpg,Redes Sociais,1:1,1080,1080,JPEG,111881,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-E7201C629.webp,512,512,assets/publish/CH-005_quote_square_candidate_v1.jpg,d2f08c41200423296ec1869c0142e810411cf0ca5fa29edefbbfb954aec1ad0b
AST-26EA1A75C,CH-005,CH-005_story_9x16_candidate_v1.jpg,Redes Sociais,9:16,1080,1920,JPEG,183441,Stories/Reels 9:16 — minimum 1080×1920,True,APPROVED,,assets/thumbs/AST-26EA1A75C.webp,288,512,assets/publish/CH-005_story_9x16_candidate_v1.jpg,75849fa8e7518b44f8d7ceb573ad352f4ee2a439dbb50c7b9e2d5cbdd1b1ac0c
AST-1D062679A,CH-005,CH-005_teaser_4x5_candidate_v1.jpg,Redes Sociais,4:5,1080,1350,JPEG,154956,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-1D062679A.webp,410,512,assets/publish/CH-005_teaser_4x5_candidate_v1.jpg,1cb60cd36eee89c8fc8d6e4ed447a95ece9d17ebb4114c1cffeec1b4e38aefb5
AST-85502862C,CH-006,CH-006_quote_square_candidate_v1.jpg,Redes Sociais,1:1,1080,1080,JPEG,92342,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-85502862C.webp,512,512,assets/publish/CH-006_quote_square_candidate_v1.jpg,5dccabe93f6d574b96ad2ec8e678eada130b4cd210187654c9b60e996749b6da
AST-61FB863E8,CH-006,CH-006_story_9x16_candidate_v1.jpg,Redes Sociais,9:16,1080,1920,JPEG,136509,Stories/Reels 9:16 — minimum 1080×1920,True,APPROVED,,assets/thumbs/AST-61FB863E8.webp,288,512,assets/publish/CH-006_story_9x16_candidate_v1.jpg,0cadc5f0e864169aa31225201e8fa935ff5fee20e0eec3b98bf3013cd480a44f
AST-74C4128E6,CH-006,CH-006_teaser_4x5_candidate_v1.jpg,Redes Sociais,4:5,1080,1350,JPEG,115329,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-74C4128E6.webp,410,512,assets/publish/CH-006_teaser_4x5_candidate_v1.jpg,ecb0506d7ecabb9f1ddd819d3d8820dd18386a8960d3b084df79d3496bb603cc
AST-0DC853577,CH-007,CH-007_quote_square_candidate_v1.jpg,Redes Sociais,1:1,1080,1080,JPEG,94836,Quote card 1:1 — minimum 1080×1080,True,APPROVED,,assets/thumbs/AST-0DC853577.webp,512,512,assets/publish/CH-007_quote_square_candidate_v1.jpg,0af18c9088efa4778f174cc60ef4b04c3ac0ce038631774276295bfa50dbb490
AST-26644D508,CH-007,CH-007_story_9x16_candidate_v1.jpg,Redes Sociais,9:16,1080,1920,JPEG,139852,Stories/Reels 9:16 — minimum 1080×1920,True,APPROVED,,assets/thumbs/AST-26644D508.webp,288,512,assets/publish/CH-007_story_9x16_candidate_v1.jpg,31a3a7b26f6055d95321d2da64fea3142b285766f78c8b22f22301e0d3f671b6
AST-065F23703,CH-007,CH-007_teaser_4x5_candidate_v1.jpg,Redes Sociais,4:5,1080,1350,JPEG,112303,Instagram feed 4:5 — minimum 1080×1350,True,APPROVED,,assets/thumbs/AST-065F23703.webp,410,512,assets/publish/CH-007_teaser_4x5_candidate_v1.jpg,fe8500164eff002a8cba38d48ddeaec7135cf309f4415f2523c2c3a36b6d5757
